County #,Population 10,White Pop 10,Black Pop 10,Asian Pop 10,Hispanic Pop 10,Male Pop 10,Female Pop 10,Age 0-4 Pop 10,Age 5-9 Pop 10,Age 10-14 Pop 10,Age 15-19 Pop 10,Age 20-24 Pop 10,Age 25-34 Pop 10,Age 35-44 Pop 10,Age 45-54 Pop 10,Age 55-64 Pop 10,Age 65-74 Pop 10,Age 75-84 Pop 10,Age 85-Up Pop 10,Median Age 10,Median Age Male 10,Median Age Female 10,# of Households 10,Avg Household Size 10,HH 1 Male 10,HH 1 Female 10,HH Married-Child 10,HH Married-noChild 10,HH Male-Child 10,HH Female-Child 10,# of Families 10,Avg Family Size 10,# of Housing Units 10,Housing Vacant 10,Housing Owner Occup 10,Housing Renter Occup 10
48001,58458,38632,12310,291,9287,35521,22937,3135,3258,3156,3107,3514,9237,9506,9397,6810,4181,2292,865,1532.3,1491.3,1554.9,17218,100.53,2002,2428,3656,5220,541,1604,12158,120.94,20116,2898,12432,4786
48003,14786,11749,222,91,7195,7368,7418,1226,1205,1173,1122,1000,1962,1780,2156,1499,895,573,195,366.1,352.9,379.2,5259,30.56,551,567,1554,1531,195,430,3976,35.82,5814,555,4020,1239
48005,86771,62537,13035,785,17145,42515,44256,6506,6427,6550,6231,5470,10854,11113,11788,9989,6487,3859,1497,1887.7,1830.9,1932.2,31090,142.13,3260,4155,7507,8687,884,3355,22429,168.21,35589,4499,21342,9748
48007,23158,20231,303,455,5690,11485,11673,1190,1162,1284,1383,1032,1972,2325,3373,3835,3360,1765,477,882.0,871.2,891.8,9795,41.449999999999996,1326,1398,1475,3669,262,629,6536,50.1,15355,5560,7326,2469
48009,9054,8504,40,18,675,4563,4491,472,585,707,673,434,837,1099,1616,1184,840,483,124,384.2,376.8,390.7,3538,22.68,419,409,879,1285,80,174,2597,26.88,4107,569,2900,638
48011,1901,1774,11,0,124,928,973,107,109,109,137,61,202,201,282,299,216,128,50,138.6,134.4,142.2,751,7.37,83,93,184,305,15,31,560,8.559999999999999,904,153,619,132
48013,44911,38130,359,156,27785,22130,22781,3337,3574,3803,3441,2586,5097,5647,6249,5466,3255,1805,651,913.2,887.6,934.0,15246,72.19,1562,1587,4058,4347,620,1453,11543,83.81,17631,2385,11559,3687
48015,28417,22379,2668,118,6641,14073,14344,1850,1897,2064,2004,1411,3052,3434,4405,3876,2476,1384,564,817.9,795.6,840.5,10837,51.81,1158,1378,2573,3621,332,753,7866,61.25,12926,2089,8192,2645
48017,7165,5392,86,30,4283,3621,3544,682,641,560,534,454,916,801,859,709,537,349,123,196.7,193.2,200.6,2468,17.76,267,299,699,731,94,204,1832,20.59,2784,316,1646,822
48019,20485,19010,98,57,3415,10172,10313,923,1044,1224,1212,742,1570,2206,3758,3692,2536,1232,346,591.2,591.5,590.9,8564,27.78,1149,1083,1552,3357,174,404,5912,33.51,11561,2997,7158,1406
